"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 13 12:16:38 GMT 2024","Sun Oct 13 12:16:38 GMT 2024","39","","ITCompanySuite","","","","[GetById] Успех",""
"passed","Sun Oct 13 12:16:26 GMT 2024","Sun Oct 13 12:16:26 GMT 2024","5","","StorageFinReportSuite","","","","[FinReportGetByCompany] Год начала периода больше года конца периода",""
"passed","Sun Oct 13 12:16:27 GMT 2024","Sun Oct 13 12:16:27 GMT 2024","15","","FinReportSuite","","","","[FinReportDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Sun Oct 13 12:16:26 GMT 2024","Sun Oct 13 12:16:26 GMT 2024","25","","StorageUserSuite","","","","[UserDeleteById] Успех",""
"passed","Sun Oct 13 12:16:26 GMT 2024","Sun Oct 13 12:16:26 GMT 2024","21","","StorageActFieldSuite","","","","[ActFieldCreate] Успех",""
"passed","Sun Oct 13 12:16:26 GMT 2024","Sun Oct 13 12:16:26 GMT 2024","16","","StorageFinReportSuite","","","","[FinReportCreate] Отрицательная выручка",""
"passed","Sun Oct 13 12:16:27 GMT 2024","Sun Oct 13 12:16:27 GMT 2024","4","","UserSuite","","","","[UserGetById] Успех",""
"passed","Sun Oct 13 12:16:26 GMT 2024","Sun Oct 13 12:16:26 GMT 2024","19","","StorageActFieldSuite","","","","[ActFieldUpdate] Успех",""
"passed","Sun Oct 13 12:16:27 GMT 2024","Sun Oct 13 12:16:27 GMT 2024","5","","UserSuite","","","","[UserGetAll] Ошибка получения данных в репозитории",""
"passed","Sun Oct 13 12:16:26 GMT 2024","Sun Oct 13 12:16:26 GMT 2024","6","","StorageActFieldSuite","","","","[ActFieldGetById] Успех",""
"passed","Sun Oct 13 12:16:27 GMT 2024","Sun Oct 13 12:16:27 GMT 2024","16","","CompanySuite","","","","[CompanyGetByOwnerId] Ошибка получения данных в репозитории",""
"passed","Sun Oct 13 12:16:38 GMT 2024","Sun Oct 13 12:16:38 GMT 2024","37","","ITUserSuite","","","","[DeleteById] Успех",""
"passed","Sun Oct 13 12:16:27 GMT 2024","Sun Oct 13 12:16:27 GMT 2024","3","","AuthSuite","","","","[AuthLogin] Success",""
"passed","Sun Oct 13 12:16:26 GMT 2024","Sun Oct 13 12:16:26 GMT 2024","8","","StorageFinReportSuite","","","","[FinReportUpdate] Успешно",""
"passed","Sun Oct 13 12:16:27 GMT 2024","Sun Oct 13 12:16:27 GMT 2024","3","","ActFieldSuite","","","","[ActFieldCreate] Успех",""
"passed","Sun Oct 13 12:16:27 GMT 2024","Sun Oct 13 12:16:27 GMT 2024","14","","FinReportSuite","","","","[FinReportDeleteById] Успешно",""
"passed","Sun Oct 13 12:16:26 GMT 2024","Sun Oct 13 12:16:26 GMT 2024","7","","StorageCompanySuite","","","","[CompanyGetAll] Успешно",""
"passed","Sun Oct 13 12:16:38 GMT 2024","Sun Oct 13 12:16:38 GMT 2024","40","","ITCompanySuite","","","","[GetByOwnerId] Успех",""
"passed","Sun Oct 13 12:16:26 GMT 2024","Sun Oct 13 12:16:26 GMT 2024","8","","StorageFinReportSuite","","","","[FinReportDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Sun Oct 13 12:16:26 GMT 2024","Sun Oct 13 12:16:26 GMT 2024","22","","StorageUserSuite","","","","[UserGetAll] Успех",""
"passed","Sun Oct 13 12:16:26 GMT 2024","Sun Oct 13 12:16:26 GMT 2024","11","","StorageAuthSuite","","","","[AuthLogin] Success",""
"passed","Sun Oct 13 12:16:38 GMT 2024","Sun Oct 13 12:16:38 GMT 2024","27","","ITActFieldSuite","","","","[Create] Успех",""
"passed","Sun Oct 13 12:16:38 GMT 2024","Sun Oct 13 12:16:38 GMT 2024","19","","ITAuthSuite","","","","[Register] Неуникальное имя пользователя",""
"passed","Sun Oct 13 12:16:27 GMT 2024","Sun Oct 13 12:16:27 GMT 2024","1","","CompanySuite","","","","[CompanyDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Sun Oct 13 12:16:26 GMT 2024","Sun Oct 13 12:16:26 GMT 2024","7","","StorageCompanySuite","","","","[CompanyCreate] Пустое название компании",""
